Problem,Aratdar_n,Aratdar_pct,Bepari_n,Bepari_pct,Retailer_n,Retailer_pct,Total_n,Total_pct
Unsold fish spoilage loss,12,40.0,9,30.0,7,23.3,28,31.1
Supply syndicate control,11,36.7,9,30.0,8,26.7,28,31.1
Competition from frozen imported fish,8,26.7,10,33.3,8,26.7,26,28.9
High ice price,7,23.3,10,33.3,7,23.3,24,26.7
Day-to-day price volatility,7,23.3,6,20.0,10,33.3,23,25.6
Low landings in lean season,9,30.0,8,26.7,5,16.7,22,24.4
Waterlogging during monsoon,7,23.3,6,20.0,9,30.0,22,24.4
Rising cost of ice and salt,6,20.0,8,26.7,7,23.3,21,23.3
Irregular electricity and load-shedding,10,33.3,4,13.3,7,23.3,21,23.3
Rising toll and lease burden,5,16.7,8,26.7,7,23.3,20,22.2
Delayed credit recovery,6,20.0,7,23.3,7,23.3,20,22.2
Transport cost increase,2,6.7,5,16.7,8,26.7,15,16.7
