Form,Variable,n_respondents,n_valid,n_K_valid_skip,n_D_refused,n_blank,pct_nonresponse
Price_Observations,Buy_price_raw,491,435,56,0,0,11.4
Price_Observations,Sell_price_raw,491,415,61,15,0,15.5
Price_Observations,Quantity_raw,491,441,0,0,50,10.2
Consumer_Purchases_Focal,Price_raw,66,54,12,0,0,18.2
Consumer_Purchases_Focal,Purchased_today,66,66,0,0,0,0.0
Form A (Aratdar),Age_years,30,30,0,0,0,0.0
Form A (Aratdar),Years_in_business,30,30,0,0,0,0.0
Form A (Aratdar),Education,30,30,0,0,0,0.0
Form A (Aratdar),Family_members,30,30,0,0,0,0.0
Form A (Aratdar),Daily_capacity_raw,30,30,0,0,0,0.0
Form A (Aratdar),Payment_cash_pct,30,30,0,0,0,0.0
Form A (Aratdar),Payment_MFS_pct,30,30,0,0,0,0.0
Form A (Aratdar),Payment_credit_pct,30,30,0,0,0,0.0
Form B (Bepari/Faria),Age_years,30,30,0,0,0,0.0
Form B (Bepari/Faria),Years_in_business,30,30,0,0,0,0.0
Form B (Bepari/Faria),Daily_capacity_raw,30,30,0,0,0,0.0
Form B (Bepari/Faria),Trips_per_period,30,30,0,0,0,0.0
Form B (Bepari/Faria),Ice_usage_kg_per_day,30,30,0,0,0,0.0
Form B (Bepari/Faria),Payment_cash_pct,30,30,0,0,0,0.0
Form B (Bepari/Faria),Payment_MFS_pct,30,30,0,0,0,0.0
Form B (Bepari/Faria),Payment_credit_pct,30,30,0,0,0,0.0
Form R (Retailer),Age_years,30,30,0,0,0,0.0
Form R (Retailer),Years_in_business,30,30,0,0,0,0.0
Form R (Retailer),Daily_capacity_raw,30,30,0,0,0,0.0
Form R (Retailer),Spoilage_pct,30,30,0,0,0,0.0
Form R (Retailer),Shop_Van_Rent_BDT_per_day,30,30,0,0,0,0.0
Form R (Retailer),Ice_cost_BDT_per_day,30,30,0,0,0,0.0
Form R (Retailer),Payment_cash_pct,30,30,0,0,0,0.0
Form R (Retailer),Payment_MFS_pct,30,30,0,0,0,0.0
Form R (Retailer),Payment_credit_pct,30,30,0,0,0,0.0
Form C (Consumer),Visit_frequency,30,30,0,0,0,0.0
Form C (Consumer),Payment_method,30,30,0,0,0,0.0
